"transactiondateutc","uniqueid","itinerary","first_element","last_element","onewayorreturn"
"2019-09-16 07:30:59.937000",a1889fc4-3ad8-e911-a822-e453a8e76766,AEP-FTE-EZE,AEP,EZE,Return
"2019-09-03 03:52:10.657000","69ff9e09-e5cd-e911-a821-8111ee911e19",AEP-IGR-EZE,AEP,EZE,Return
"2019-05-21 18:20:18.110000","9201afef-db7b-e911-a821-8111ee911e19",AEP-USH-EZE,AEP,EZE,Return
"2019-08-13 16:31:10.357000",ffc75398-cebd-e911-a821-8111ee911e19,BOM-DXB-BOM,BOM,BOM,One Way
"2019-06-12 11:27:38.227000",c9b436ef-eb8c-e911-a821-8111ee911e19,CDG-AAE-ORY,CDG,ORY,Return
"2019-12-26 23:29:54.797000",be53cf73-1e28-ea11-a822-e453a8e76766,CDG-ALG-ORY,CDG,ORY,Return
"2019-04-14 10:56:06.543000","63e399be-8a5e-e911-a821-8111ee911e19",CDG-ALG-ORY,CDG,ORY,Return
"2019-05-22 13:36:55.843000","68530a7f-7d7c-e911-a821-8111ee911e19",CDG-CMN-ORY,CDG,ORY,Return
"2019-07-26 15:38:42.033000",aa021247-a2af-e911-a821-8111ee911e19,CDG-CMN-ORY,CDG,ORY,Return
"2019-04-04 22:00:59.670000",a72657fb-0b57-e911-a821-8111ee911e19,CDG-CMN-ORY,CDG,ORY,Return
"2019-01-07 18:19:13.890000","469f9591-8f12-e911-a820-a7f2c9e35195",CDG-CMN-ORY,CDG,ORY,Return
"2019-09-23 02:33:17.577000","9c942c5a-91dd-e911-a822-e453a8e76766",CDG-CMN-ORY,CDG,ORY,Return
"2019-09-10 15:45:06.890000",effa52cc-c8d3-e911-a822-e453a8e76766,CDG-ORN-ORY,CDG,ORY,Return
"2019-02-10 20:15:39.080000",e21f507b-572d-e911-a820-a7f2c9e35195,CDG-ORN-ORY,CDG,ORY,Return
"2019-10-27 16:50:31.597000","2e4741bd-c0f8-e911-a822-e453a8e76766",CDG-ORN-ORY,CDG,ORY,Return
"2019-11-02 20:27:52.787000",c888e718-96fd-e911-a822-e453a8e76766,CRK-HKG-MNL,CRK,MNL,Return
"2019-01-30 07:57:41.280000",a34d44d1-8c24-e911-a820-a7f2c9e35195,DEL-MEL-DEL,DEL,DEL,One Way
"2019-10-19 20:42:10.987000","606ea6c6-97f2-e911-a822-e453a8e76766",EWR-DUB-JFK,EWR,JFK,Return
